iter	Passed	Remaining
729	13993	5175
730	14013	5156
731	14035	5138
732	14055	5119
733	14075	5100
734	14095	5082
735	14114	5062
736	14135	5044
737	14156	5025
738	14181	5008
739	14208	4992
740	14228	4973
741	14244	4952
742	14260	4932
743	14276	4912
744	14294	4892
745	14314	4873
746	14334	4854
747	14354	4836
748	14370	4815
749	14387	4795
750	14402	4775
751	14417	4754
752	14433	4734
753	14447	4713
754	14463	4693
755	14478	4673
756	14494	4652
757	14510	4632
758	14529	4613
759	14548	4594
760	14567	4574
761	14585	4555
762	14600	4535
763	14616	4515
764	14632	4494
765	14647	4474
766	14662	4454
767	14677	4433
768	14693	4413
769	14709	4393
770	14729	4374
771	14750	4356
772	14768	4337
773	14812	4324
774	14877	4319
775	14915	4305
776	14941	4288
777	14978	4274
778	14998	4255
779	15020	4236
780	15041	4217
781	15062	4199
782	15079	4179
783	15095	4158
784	15111	4138
785	15127	4118
786	15143	4098
787	15161	4079
788	15179	4059
789	15198	4040
790	15217	4020
791	15235	4001
792	15251	3981
793	15266	3960
794	15282	3940
795	15298	3920
796	15314	3900
797	15330	3880
798	15346	3860
799	15362	3840
800	15383	3821
801	15402	3802
802	15421	3783
803	15442	3764
804	15457	3744
805	15474	3724
806	15490	3704
807	15506	3684
808	15522	3664
809	15538	3644
810	15554	3624
811	15622	3616
812	15665	3603
813	15707	3589
814	15751	3575
815	15792	3561
816	15851	3550
817	15892	3535
818	15935	3521
819	15975	3506
820	16011	3491
821	16060	3477
822	16101	3462
823	16137	3446
824	16165	3429
825	16211	3415
826	16236	3396
827	16261	3378
828	16292	3360
829	16328	3344
830	16378	3330
831	16402	3312
832	16426	3293
833	16450	3274
834	16475	3255
835	16498	3236
836	16524	3218
837	16551	3199
838	16599	3185
839	16623	3166
840	16648	3147
841	16670	3128
842	16694	3109
843	16729	3092
844	16757	3073
845	16793	3056
846	16818	3038
847	16845	3019
848	16869	3000
849	16894	2981
850	16919	2962
851	16945	2943
852	16977	2925
853	17099	2923
854	17204	2917
855	17260	2903
856	17324	2890
857	17365	2874
858	17406	2857
859	17445	2839
860	17473	2821
861	17509	2803
862	17533	2783
863	17557	2763
864	17580	2743
865	17605	2724
866	17630	2704
867	17654	2684
868	17676	2664
869	17698	2644
870	17722	2624
871	17749	2605
872	17772	2585
873	17793	2565
874	17812	2544
875	17834	2524
876	17853	2503
877	17873	2483
878	17895	2463
879	17917	2443
880	17940	2423
881	17963	2403
882	17984	2382
883	18004	2362
884	18022	2341
885	18043	2321
886	18060	2300
887	18079	2280
888	18103	2260
889	18126	2240
890	18149	2220
891	18174	2200
892	18198	2180
893	18217	2159
894	18232	2139
895	18248	2118
896	18263	2097
897	18279	2076
898	18294	2055
899	18311	2034
900	18329	2013
901	18350	1993
902	18369	1973
903	18391	1953
904	18412	1932
905	18430	1912
906	18445	1891
907	18465	1870
908	18484	1850
909	18500	1829
910	18519	1809
911	18537	1788
912	18559	1768
913	18582	1748
914	18608	1728
915	18632	1708
916	18657	1688
917	18683	1668
918	18710	1649
919	18731	1628
920	18762	1609
921	18788	1589
922	18811	1569
923	18833	1549
924	18854	1528
925	18878	1508
926	18898	1488
927	18916	1467
928	18936	1447
929	18961	1427
930	18986	1407
931	19016	1387
932	19051	1368
933	19078	1348
934	19099	1327
935	19119	1307
936	19139	1286
937	19160	1266
938	19183	1246
939	19207	1225
940	19228	1205
941	19251	1185
942	19275	1165
943	19297	1144
944	19322	1124
945	19343	1104
946	19366	1083
947	19391	1063
948	19415	1043
949	19438	1023
950	19473	1003
951	19495	982
952	19563	964
953	19601	945
954	19646	925
955	19682	905
956	19705	885
957	19727	864
958	19753	844
959	19810	825
960	19835	804
961	19861	784
962	19886	764
963	19910	743
964	19935	723
965	19961	702
966	19983	681
967	20004	661
968	20026	640
969	20049	620
970	20072	599
971	20096	578
972	20118	558
973	20141	537
974	20165	517
975	20193	496
976	20215	475
977	20236	455
978	20256	434
979	20277	413
980	20303	393
981	20329	372
982	20366	352
983	20388	331
984	20412	310
985	20434	290
986	20454	269
987	20476	248
988	20497	227
989	20538	207
990	20573	186
991	20604	166
992	20632	145
993	20655	124
994	20679	103
995	20704	83
996	20731	62
997	20766	41
998	20799	20
999	20821	0
